scenario,month,month_label,tasmax_c,grid_lat,grid_lon
ssp126,1,Jan,16.068688964843773,42.375,9.625
ssp126,2,Fev,14.673425292968773,42.375,9.625
ssp126,3,Mar,18.029779052734398,42.375,9.625
ssp126,4,Avr,23.925500488281273,42.375,9.625
ssp126,5,Mai,26.559014892578148,42.375,9.625
ssp126,6,Juin,32.3660827636719,42.375,9.625
ssp126,7,Juil,34.75319824218752,42.375,9.625
ssp126,8,Aout,34.36641845703127,42.375,9.625
ssp126,9,Sep,31.048272705078148,42.375,9.625
ssp126,10,Oct,27.206170654296898,42.375,9.625
ssp126,11,Nov,23.446893310546898,42.375,9.625
ssp126,12,Dec,17.917932128906273,42.375,9.625
ssp245,1,Jan,16.319238281250023,42.375,9.625
ssp245,2,Fev,16.449395751953148,42.375,9.625
ssp245,3,Mar,19.062219238281273,42.375,9.625
ssp245,4,Avr,20.653680419921898,42.375,9.625
ssp245,5,Mai,24.743280029296898,42.375,9.625
ssp245,6,Juin,30.538903808593773,42.375,9.625
ssp245,7,Juil,36.60531005859377,42.375,9.625
ssp245,8,Aout,32.86757812500002,42.375,9.625
ssp245,9,Sep,30.483270263671898,42.375,9.625
ssp245,10,Oct,29.799951171875023,42.375,9.625
ssp245,11,Nov,21.757073974609398,42.375,9.625
ssp245,12,Dec,18.710015869140648,42.375,9.625
ssp585,1,Jan,15.835626220703148,42.375,9.625
ssp585,2,Fev,16.891839599609398,42.375,9.625
ssp585,3,Mar,19.032464599609398,42.375,9.625
ssp585,4,Avr,22.095880126953148,42.375,9.625
ssp585,5,Mai,26.777612304687523,42.375,9.625
ssp585,6,Juin,32.09368286132815,42.375,9.625
ssp585,7,Juil,34.9973083496094,42.375,9.625
ssp585,8,Aout,33.24382934570315,42.375,9.625
ssp585,9,Sep,29.494866943359398,42.375,9.625
ssp585,10,Oct,24.028222656250023,42.375,9.625
ssp585,11,Nov,20.367272949218773,42.375,9.625
ssp585,12,Dec,15.800653076171898,42.375,9.625
